id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_rating,reviews_per_month,zona,is_superhost
959491341834674179,t,Copacabana,-22.981830071516637,-43.19619119581037,Entire home/apt,4,671.0,25,4.96,1.51,Zona Sul,True
959534043323178431,t,Centro,-22.9095659,-43.1776722,Entire home/apt,2,411.0,25,4.8,1.53,Centro,True
959557252558771898,t,Ipanema,-22.9864,-43.19441,Entire home/apt,4,3150.0,7,5.0,0.47,Zona Sul,True
957123382293216700,f,Vila Militar,-22.8839144,-43.4062466,Entire home/apt,2,160.0,0,,0.0,Zona Norte,False
957127708176984417,t,Copacabana,-22.96655,-43.1904,Entire home/apt,5,1371.0,8,5.0,0.63,Zona Sul,True
957233446065523420,f,Santa Teresa,-22.9346017,-43.1955706,Private room,2,214.0,2,5.0,0.58,Zona Sul,False
957234434597832056,t,Copacabana,-22.9715824,-43.1878037,Entire home/apt,6,496.0,42,4.93,2.53,Zona Sul,True
957266434450615562,f,Copacabana,-22.969513204616373,-43.185206316411495,Entire home/apt,11,2643.0,3,4.67,0.22,Zona Sul,False
957274139958655870,t,Copacabana,-22.98082716883373,-43.19053997162038,Private room,2,519.0,25,5.0,1.58,Zona Sul,True
957274612469267784,f,Alto da Boa Vista,-22.97746,-43.2795,Entire home/apt,16,5600.0,0,,0.0,Zona Sul,False
959562058810418614,t,Copacabana,-22.984093515407423,-43.19268925149875,Entire home/apt,6,2700.0,19,4.95,1.29,Zona Sul,True
959608792366565032,t,Leme,-22.96464487082392,-43.172656859365816,Private room,2,186.0,81,4.88,4.96,Zona Sul,True
959664369605082391,t,Tijuca,-22.9264,-43.24237,Entire home/apt,2,600.0,20,5.0,1.21,Zona Norte,True
960067747307777768,f,Recreio dos Bandeirantes,-23.02997076949026,-43.47400009632111,Entire home/apt,2,479.0,5,4.8,0.36,Zona Oeste,False
960073719650729296,t,Copacabana,-22.97670555932131,-43.190865106880665,Private room,2,389.0,53,4.92,3.35,Zona Sul,True
957329789364000381,f,Centro,-22.9107,-43.1775795,Entire home/apt,2,643.0,15,4.87,0.91,Centro,False
957355866504996816,f,Lagoa,-22.97602,-43.1967,Entire home/apt,4,640.0,0,,0.0,Zona Sul,False
957448278272057749,t,Barra da Tijuca,-23.014913069503294,-43.30580245703459,Entire home/apt,5,930.0,32,4.78,2.02,Zona Oeste,True
957771073904866920,f,Barra da Tijuca,-23.008806701239184,-43.42191823782076,Private room,2,566.0,1,4.0,0.1,Zona Oeste,False
957771236488125846,f,Barra da Tijuca,-23.01064,-43.42324,Private room,2,566.0,9,4.78,0.59,Zona Oeste,False
960098404558802383,f,Copacabana,-22.97892,-43.1887,Entire home/apt,3,500.0,2,5.0,0.14,Zona Sul,False
960137446280428545,t,Jardim Botânico,-22.9650381,-43.2190628,Entire home/apt,2,500.0,24,4.75,1.5,Zona Sul,True
960150651759246696,f,Barra da Tijuca,-23.0093514,-43.3448529,Entire home/apt,4,1450.0,0,,0.0,Zona Oeste,False
960157786518851748,f,Ipanema,-22.98431,-43.203,Entire home/apt,2,1460.0,31,4.61,2.04,Zona Sul,False
960241834529841358,f,Laranjeiras,-22.93116,-43.18021,Entire home/apt,3,550.0,8,4.38,0.52,Zona Sul,False
960250135583619152,t,Barra da Tijuca,-23.00997692745176,-43.345827035743625,Entire home/apt,4,986.0,32,5.0,1.99,Zona Oeste,True
960258252895817690,f,Ipanema,-22.9824,-43.20223,Entire home/apt,6,550.0,56,4.93,3.45,Zona Sul,False
960305018295638002,t,Copacabana,-22.983005425241256,-43.19058700074781,Entire home/apt,3,256.0,9,5.0,0.57,Zona Sul,True
957841509276495914,t,Copacabana,-22.9852374,-43.1929058,Entire home/apt,4,1086.0,55,4.93,3.74,Zona Sul,True
957851457141291849,t,Centro,-22.915783,-43.177924,Entire home/apt,5,343.0,58,4.83,3.55,Centro,True
957904676134661707,f,Guaratiba,-22.98309,-43.6453,Entire home/apt,16,1957.0,2,5.0,0.51,Zona Oeste,False
957910787731379217,t,Copacabana,-22.9844542083379,-43.19258676406735,Entire home/apt,4,943.0,15,4.93,1.02,Zona Sul,True
957926638490013003,f,Itanhangá,-22.9840716,-43.3012982,Entire home/apt,10,4500.0,0,,0.0,Zona Oeste,False
957968837618926665,t,Camorim,-22.98235,-43.41564,Entire home/apt,4,477.0,22,4.95,1.39,Zona Oeste,True
960367023653965289,f,Centro,-22.912565274305276,-43.19062203168869,Entire home/apt,3,281.0,63,4.7,3.86,Centro,False
